Id,cateId,picS,picB,name,describe,price,originPrice,author,brand,publishDate,isPChome,isNC17,couponActid,BU
DEDB8Z-A900FBVOG,DQCD0C,/items/DEDB8ZA900FBVOG/000001_1658820665.jpg,/items/DEDB8ZA900FBVOG/000001_1658820665.jpg,肯尼士2尺坐式鞋櫃,肯尼士2尺坐式鞋櫃\r\n,3079,3079,,,,1,0,"{'1': 'C044306', '2': 'C044302', '3': 'C044304', '4': 'C044307', '5': 'C044308', '6': 'C044303', '7': 'C044301', '8': 'C044314', '9': 'C044532', '10': 'C044313', '11': 'C044534', '12': 'C044305'}",ec
DQCD04-A900GRL2S,DQCD04,/items/DQCD04A900GRL2S/000001_1698224034.jpg,/items/DQCD04A900GRL2S/000001_1698224034.jpg,【HappyLife】玄關雲杉翻斗鞋櫃/三門120CM (Y11498),【HappyLife】玄關雲杉翻斗鞋櫃/三門120CM (Y11498)\r\n,3099,3099,,,,1,0,"['C044306', 'C044302', 'C044304', 'C044307', 'C044308', 'C044303', 'C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C044301', 'C044314', 'C044532', 'C044313', 'C044534', 'C044305', 'C047169', 'C047167', 'C047162', 'C047168']",ec
DEDB8P-A900FTK5U,DQCD04,/items/DEDB8PA900FTK5U/000001_1670315224.jpg,/items/DEDB8PA900FTK5U/000001_1670315224.jpg,【慢慢家居】輕奢美背三門一抽大容量收納鞋櫃-4尺加深 (收納櫃 櫥櫃 餐櫃),"【慢慢家居】輕奢美背三門一抽大容量收納鞋櫃-4尺加深 (收納櫃 櫥櫃 餐櫃)\r\n輕奢四尺大容量 經典灰白可選

※金屬把手櫃腳，質感升級
※4層活動層板 自由可調
※層板角度可調整 平行傾斜任選 
※底部加高 空間再利用
※獨創複合背板 自帶透氣孔
※圓弧邊角 安心防撞",3102,3102,,,,1,0,"{'1': 'C044306', '2': 'C044302', '3': 'C044304', '4': 'C044307', '5': 'C044308', '6': 'C044303', '7': 'C044301', '8': 'C044314', '9': 'C044532', '10': 'C044313', '11': 'C044534', '12': 'C044305'}",ec
DEAB4Q-A900AWNH0,DQCD01,/items/DEAB4QA900AWNH0/000001_1661948803.jpg,/items/DEAB4QA900AWNH0/000001_1661948803.jpg,【fioJa 費歐家】 側開式 2列3層 組合鞋櫃 鞋架(鞋櫃 組合鞋櫃 ),"【fioJa 費歐家】 側開式 2列3層 組合鞋櫃 大容量多層組合收納鞋櫃\r\n讓您的鞋子有舒適空間!井然有序的排排站
鞋櫃可調整隔板，自由彈性運用~
收納各尺寸大鞋、小鞋更方便~

大容量多層組合收納鞋櫃，告別到處找鞋，
隔板可自由調整，短靴、長靴皆可輕鬆放置！
拆裝方便。擁有超大容量，完美收納你的愛鞋們！
堅固耐用，品質保證，買就附贈雨傘架喔！",672,672,,,,1,0,"['C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C047244', 'C047169', 'C047242', 'C047246', 'C047167', 'C047243', 'C047168']",ec
DEABHV-A900FT2HT,DQCD3G,/items/DEABHVA900FT2HT/000001_1687745189.jpg,/items/DEABHVA900FT2HT/000001_1687745189.jpg,《HOPMA》加大加深四門大容量鞋櫃-黑胡桃拼版柚木,"《HOPMA》加大加深四門大容量鞋櫃 台灣製造 玄關櫃 收納櫃 置物邊櫃-黑胡桃拼版柚木\r\n。mit台灣製造
。diy自行組裝 
。可調式活動層板
。透氣孔設計
。霧黑質感把手

▼2色可選▼
→【白櫻桃】
→【黑胡桃拼版柚木】",3188,3188,,,,1,0,"{'1': 'C044306', '2': 'C044302', '3': 'C044304', '4': 'C044307', '5': 'C044308', '6': 'C044303', '7': 'C044301', '8': 'C044314', '9': 'C044532', '10': 'C044313', '11': 'C044534', '12': 'C044305'}",ec
DEABHV-A900FN2VM,DQCD3G,/items/DEABHVA900FN2VM/000001_1687745267.jpg,/items/DEABHVA900FN2VM/000001_1687745267.jpg,《HOPMA》加大加深四門大容量鞋櫃 玄關櫃 收納櫃 鞋架-白櫻桃,"《HOPMA》加大加深四門大容量鞋櫃 台灣製造 玄關櫃 收納櫃 鞋架-白櫻桃\r\n。mit台灣製造
。diy自行組裝 
。可調式活動層板
。透氣孔設計
。霧黑質感把手

▼2色可選▼
→【白櫻桃】
→【黑胡桃拼版柚木】",3188,3188,,,,1,0,"{'1': 'C044306', '2': 'C044302', '3': 'C044304', '4': 'C044307', '5': 'C044308', '6': 'C044303', '7': 'C044301', '8': 'C044314', '9': 'C044532', '10': 'C044313', '11': 'C044534', '12': 'C044305'}",ec
QFAA8D-A9008XK8R,DQCD3G,/items/QFAA8DA9008XK8R/000001_1685415050.jpg,/items/QFAA8DA9008XK8R/000001_1685415050.jpg,《HOPMA》多功能開放式五層鞋櫃,"《HOPMA》多功能開放式五層鞋櫃 台灣製造 玄關櫃 開放收納櫃 置物邊櫃\r\n。mit台灣製造
。diy商品
。歐盟等級e1塑合板
。可放21雙鞋
。簍空設計達到通風透氣效果",663,663,,,,1,0,[],ec
DEABQA-A900F3P7B,DQCD3G,/items/DEABQAA900F3P7B/000001_1653643304.jpg,/items/DEABQAA900F3P7B/000001_1653643304.jpg,《HOPMA》雅緻加深款四門鞋櫃/收納櫃/置物櫃/玄關櫃,"《HOPMA》雅緻加深款四門鞋櫃 台灣製造 玄關櫃 開放收納櫃 置物邊櫃\r\n。mit台灣製造。diy自行組裝 
。可調式活動層板。透氣孔設計
。霧黑質感把手",3251,3251,,,,1,0,"{'1': 'C044306', '2': 'C044302', '3': 'C044304', '4': 'C044307', '5': 'C044308', '6': 'C044303', '7': 'C044301', '8': 'C044314', '9': 'C044532', '10': 'C044313', '11': 'C044534', '12': 'C044305'}",ec
DEDD1G-A900AYQW8,DQCD2G,/items/DEDD1GA900AYQW8/000001_1604222622.jpg,/items/DEDD1GA900AYQW8/000001_1604222622.jpg,【HappyLife】楠竹製11層翻門鞋櫃/寬60公分 (Y10041),"【HappyLife】楠竹製11層翻門鞋櫃/寬60公分 (Y10041)\r\n多功能多層大容量設計
背部密封複合檔板
掀蓋後可推入收納
深度加深33cm",3260,3260,,,,1,0,"['C044306', 'C044302', 'C044304', 'C044307', 'C044308', 'C044303', 'C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C044301', 'C044314', 'C044532', 'C044313', 'C044534', 'C044305', 'C047169', 'C047167', 'C047162', 'C047168']",ec
DEDB8P-A900FU6SO,DQCD2G,/items/DEDB8PA900FU6SO/000001_1670914749.jpg,/items/DEDB8PA900FU6SO/000001_1670914749.jpg,【HappyLife】楠竹製隙縫玄關鞋櫃/十層40CM (Y10971),"【HappyLife】楠竹製隙縫玄關鞋櫃/十層40CM (Y10971)\r\n塑藤長虹兩款可選
佔地小大容量
天然楠竹
加寬深度",3288,3288,,,,1,0,"['C044306', 'C044302', 'C044304', 'C044307', 'C044308', 'C044303', 'C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C044301', 'C044314', 'C044532', 'C044313', 'C044534', 'C044305', 'C047169', 'C047167', 'C047162', 'C047168']",ec
